video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption,durationSecs,tagCount
r1pxFsTPcIE,Steffi M.,"Greece travel vlog | Siblings trip to Heraklion, Crete | Horse riding, Clearwater Beach, Acient Gr","Thank you guys for taking part of your time to watch my video, I hope you enjoy this travel vlog of I and my brothers in Heraklion, Crete, Greece. It's our first time of visiting here and we had an amazing experience.

Watch in 4K
If you enjoyed this video, feel free to leave a like and subscribe to my channel, thank you :)


Links: 
Appartment - Club Tahiti, Costa Teguise


Song: ♪ Rose (Prod. by Lukrembo)
Link :   

 • lukrembo - rose https://www.youtube.com/watch?v=XIhyti2Qa74


Instagrams: Mine - https://www.instagram.com/proud_melanin/
Alex - https://instagram.com/maduabumalex/
Obi - https://instagram.com/obi1chris/

Email: stefmaduabum@gmail.com",,2024-02-16 17:00:09+00:00,460.0,21.0,,9.0,PT29M41S,hd,false,0 days 00:29:41,0
8r2dc8jizxk,Steffi M.,"Afronation Portugal 2023 | Girls Trip| Travel vlog | Ft Davido, Burna, Asake, Wizkid, 50 Cent & more","Afronation Portugal 2023 was really a movie!
Remember to watch in 4K
I hope you enjoy this video and feel the vibe as much as we did.

If you did enjoy, please feel free to like and subscribe for more content.
Thanks for watching

Instagram: https://www.instagram.com/proud_melanin/


Email: stefmaduabum@gmail.com


Accomodation: 
Hotel :https://www.jupitermarinahotel.com/
Resort: https://www.detailshotels.com/vale-da-lapa/
Car rental: https://www.recordrentacar.com/en/car-hire-faro-airport/",,2023-10-15 11:00:07+00:00,2170.0,47.0,,13.0,PT30M24S,hd,false,0 days 00:30:24,0
Mt0HwS-ariQ,Steffi M.,"Travel Prep vlog | DIY Fulani Godess Braids, Nails, beauty errands, packing process","Get ready with me for my trip to portugal :)

Watch in 4K
If you enjoyed this video, feel free to leave a like and subscribe to my channel, thank you :)



Instagrams: Mine - https://www.instagram.com/proud_melanin/

Email: stefmaduabum@gmail.com",,2023-08-11 19:34:47+00:00,249.0,15.0,,2.0,PT17M9S,hd,false,0 days 00:17:09,0
ulEPS4rTdEc,Steffi M.,Twi vs Igbo | Learning each other's languages | Nigeria vs Ghana,"Hope you enjoy this video of us teaching each other our native languages. 
Check out part two on her Channel: https://www.youtube.com/@Awurabenaakrofi
Feel free to subscribe to our channels :) Thank you


Instagrams: Mine - https://www.instagram.com/proud_melanin/
Email: stefmaduabum@gmail.com

––Music Credits–––––––––––––––––––––––––––––––––––––
SOUL | Afrobeat Library | Music For Content Creators
Youtube:   

 • OBASAI | Afrobeat...  
Creative Commons — Attribution - CC BY-NC-ND 4.0
Affiliated YouTube channel |   

 / kaseembada  
–––––––––––––––––––––––––––––––––––––––––––––––––",,2023-05-21 15:58:01+00:00,233.0,16.0,,5.0,PT12M20S,hd,false,0 days 00:12:20,0
yWgjd2JquIE,Steffi M.,Lanzarote travel vlog part 2 | submarine | Dolphin swim | Buggy ride | cruise yacht & more…,"Thank you guys for taking part of your time to watch my video, I hope you enjoy  the part two of this travel vlog of I and my brothers in Lanzarote, Canary Islands. It's our first time of visiting here and we had an amazing experience.

Watch in 1080p
If you enjoyed this video, feel free to leave a like and subscribe to my channel, thank you :)


Links: 
Appartment - Club Tahiti, Costa Teguise



Instagrams: Mine - https://www.instagram.com/proud_melanin/
Alex - https://instagram.com/maduabumalex/
Obi - https://instagram.com/obi1chris/

Email: stefmaduabum@gmail.com",,2023-03-05 14:47:46+00:00,282.0,12.0,,4.0,PT25M48S,hd,false,0 days 00:25:48,0
XJYDPflSeYE,Steffi M.,Lanzarote Travel vlog Part 1 | Canary Islands | Siblings trip,"Thank you guys for taking part of your time to watch my video, I hope you enjoy  the first part this travel vlog of I and my brothers in Lanzarote, Canary Islands. It's our first time of visiting here and we had an amazing experience.
Part 2 is coming soon
Watch in 1080p
If you enjoyed this video, feel free to leave a like and subscribe to my channel, thank you :)


Links: 
Appartment - Club Tahiti, Costa Teguise


Song: ♪ Jay (Prod. by Lukrembo)
Link : youtu.be/1zmJ_4kGYUU

Instagrams: Mine - https://www.instagram.com/proud_melanin/
Alex - https://instagram.com/maduabumalex/
Obi - https://instagram.com/obi1chris/

Email: stefmaduabum@gmail.com",,2023-02-05 14:23:21+00:00,618.0,18.0,,5.0,PT14M53S,hd,false,0 days 00:14:53,0
auZ7oXlvMDA,Steffi M.,"Afronation Portugal 2022 | Travel vlog | Girls Trip | Ft Wizkid, Chris Brown, Megan, Burna & more","Afronation Portugal 2022 was such a vibe!
I hope you enjoy this video and feel the vibe as much as we did.
If you do enjoy, please feel free to like and subscribe for more content.
Thanks for watching

Instagrams: Mine - https://www.instagram.com/proud_melanin/
Nnenna - https://www.instagram.com/itsnnennarose/
Esther - https://www.instagram.com/_estherr_a/

Email: stefmaduabum@gmail.com
Accomodation: https://www.ebookers.ch/en/Carvoeiro-Hotels-Rocha-Brava-Village-Resort.h1111695.Hotel-Information
Cave activity:  https://www.getyourguide.com/portimao-l2091/portimao-speedboat-ride-and-sea-cave-tour-t397931/?utm_source=getyourguide&utm_medium=sharing&utm_campaign=activity_details&visitor_id=PZK94WC4WLOJQS1I4ZVGHV7BQHDKCRVH


Music Credits: 
Last Last- https://www.youtube.com/watch?v=f8U5VbfE6GE
Wait for You - https://www.youtube.com/watch?v=ouCdL5bIbpE
Girls need love - https://www.youtube.com/watch?v=Sg8A0PX2xZE


#afronation #Portimao #girlstrip #afronationportugal #summertrip",,2022-09-18 14:30:09+00:00,4241.0,49.0,,7.0,PT58M55S,hd,false,0 days 00:58:55,0
USrTca3aWTk,Steffi M.,"NIGERIA TRAVEL VLOG | Visiting Anambra & Enugu, friends , food & events.. Part 2","Hey Loves! I'm back with the part two of my nigeria travel vlog. I visited Anambra and Enugu  after seven years and there was a lot to catch up on as you might be able to tell from this vlog. Icase you missed part 1 on my channel, so feel free to check it out too.
I hope you enjoy this video and if you do, please do like and subscribe for more content.
Thanks for watching

Instagrams: Mine - https://www.instagram.com/proud_melanin/
Email: stefmaduabum@gmail.com


Hair clip in extensions:
https://curlyfull.com/

––Music Credits–––––––––––––––––––––––––––––––––––––
PANA  | Afrobeat Library | Music for content creators | Afrobeat | Royalty Free Music | No Copyright
https://youtu.be/cYMLeIdMT34
Creative Commons — Attribution - CC BY-NC-ND 4.0
Affiliated YouTube channel | https://www.youtube.com/c/KaseemBada
–––––––––––––––––––––––––––––––––––––––––––––––––
––Music Credits–––––––––––––––––––––––––––––––––––––
DEY | Afrobeat | Royalty Free Music | No Copyright | Afrobeat Music | Free Afrobeat Instrumental
https://youtu.be/JX640NP41Tk
Creative Commons — Attribution - CC BY-NC-ND 4.0
Affiliated YouTube channel | https://www.youtube.com/c/KaseemBada
–––––––––––––––––––––––––––––––––––––––––––––––––",,2022-07-23 11:50:39+00:00,518.0,13.0,,4.0,PT29M56S,hd,false,0 days 00:29:56,0
t8j-tEf6GAg,Steffi M.,"NIGERIA TRAVEL VLOG | Nnewi Village life, family reunion, food & events.. Part 1","Hey Loves! I'm back with a nigeria travel vlog. I visited Nigeria after seven years and there was a lot to catch up on as you might be able to tell from this part 1. Part 2 is also coming very soon on my channel, so feel free to check it out too.
I hope you enjoy this video and if you do, please do like and subscribe for more content.
Thanks for watching

Instagrams: Mine - https://www.instagram.com/proud_melanin/
Email: stefmaduabum@gmail.com

Song: ––Music Credits–––––––––––––––––––––––––––––––––––––
EVER | Afrobeat | Royalty Free Music | No Copyright | Afrobeat Music | Free Afrobeat Instrumental
https://youtu.be/n_LYBXd-PSk
Creative Commons — Attribution - CC BY-NC-ND 4.0
Affiliated YouTube channel | https://www.youtube.com/c/KaseemBada","['Nigeria', 'Nigeria travel vlog', 'village life', 'burial', 'events']",2022-07-15 15:40:14+00:00,2360.0,50.0,,6.0,PT32M58S,hd,false,0 days 00:32:58,5
3J5U8t9eZrY,Steffi M.,"BORDUM, TURKEY TRAVEL VLOG | Quad biking, Mud bath, Boat trip, Apartment tour + more","Thank you guys for taking part of your time to watch my video, I hope you enjoy this travel vlog of I and my brothers in Bodrum, muğla, turkey. It's our first time of visiting here and we had an amazing experience.
Watch in 1080p
If you enjoyed this video, feel free to leave a like and subscribe to my channel, thank you :)


Links: 
Appartment -
https://www.airbnb.com/rooms/44030562?guests=1&adults=1

Song: ♪ Travel (Prod. by Lukrembo)
Link : https://youtu.be/XIhyti2Qa74

Instagrams: Mine - https://www.instagram.com/proud_melanin/
Alex - https://instagram.com/maduabumalex/
Obi - https://instagram.com/obi1chris/
Email: stefmaduabum@gmail.com


Tags: bodrum trip,travel vlog,siblings trip, Mud biking,apartment tour,pegasus,city tour,quad biking, mall,things to do in bodrum, beach,traveling during covid, bodrum mugla,how to travel,international travel vlog,jet ski, ,desert,traveling during a pandemic,traveling the world","['dubai trip', 'travel vlog', 'Desert Safari', 'apartment tour', 'emirates', 'city tour', 'dune bashing', 'quad biking', 'camel riding', 'nandos', 'summer travel vlog', 'burj khalifa', 'Burj Al Arab', 'dubai mall', 'things to do in dubai', 'atlantis aquaventure waterpark', 'jumeirah beach', 'traveling during covid', 'dubai ice rink', 'dubai marina', 'international travel vlog', 'jet ski', 'flyboard', 'yacht dubai', 'dubai travel vlog', 'what to wear in dubai', 'summer trip', 'girls trip', 'desert', 'traveling during a pandemic']",2022-01-22 21:43:13+00:00,1352.0,39.0,,11.0,PT27M56S,hd,false,0 days 00:27:56,30
